place_id,name,address,lat,lng,rating,total_ratings,price_level,busyness_score,types,phone,website,open_now,review_count,review_texts,avg_review_rating,collected_at
ChIJHUfOnHJZ4joRrAUneWixH1g,Domino's Pizza - Union Place,"505 Union Pl, Colombo 00200, Sri Lanka",6.917878000000001,79.863391,3.8,2421.0,2.0,60.9,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",0117 777 888,,True,5,"I visited this Domino’s outlet recently, and my experience was just okay. The pizza was fine, but it didn’t taste as good as I expected. The service was a little slow, and the place didn’t feel very welcoming. Prices are reasonable, but they really need to improve the taste and service. I hope they do better next time. | Had the Heart Shaped Pizza Combo at Domino’s Pizza - Union Place and it was such a cute and delicious experience! ❤️🍕 The pizza was fresh, cheesy, and perfectly baked, and the combo was totally worth it.

A special thank you to Bevan at cashier for the excellent service. His attitude was extremely good — very friendly, professional, and attentive throughout. He really made the whole experience even better.

Good food and outstanding customer service. Highly recommend this branch! 👏✨ | I placed an order for the Iftar Combo through the Domino’s app on 27th February at 5:50 PM for pickup from the Union Place outlet. The app indicated that the order was ready at 6:07 PM. I arrived at 6:12 PM; however, the order was not prepared and the staff appeared to be occupied with arranging the outlet.
When I inquired with the cashier, I was informed it would be ready within 5 minutes, but the delay continued. In total, I waited nearly 40 minutes to receive my order, which unfortunately caused me to miss Iftar despite ordering in advance.
What was particularly disappointing was the lack of acknowledgment or apology for the delay and inconvenience. During peak Iftar hours, timely service and clear communication are essential and this was not delivered.
The food quality did not meet expectations. The pizza was one of the least enjoyable I have had it lacked freshness and flavour and overall it was not tasty at all. Considering the total bill of Rs. 3,999, the experience did not reflect value for money.
I sincerely hope the management reviews both operational efficiency and food quality standards, especially during high-demand periods, to prevent similar experiences in the future. | There’s something comforting about a Domino's pizza, and the Union Place location in Colombo is my reliable spot for satisfying that specific craving. It's not a fancy Italian restaurant experience; it's a bustling, practical place that delivers exactly what you expect: fast, hot, and satisfying comfort food.
What I Love About It:
The best part is the consistency. The pizza always tastes exactly like it should. Their local favorites, like the Hot Chilli Chicken and the Double Chicken, have that familiar flavor profile that just hits right every time. The staff here generally keep things moving efficiently and usually have a friendly attitude, even during the lunch rush.
It's also great for value. I usually take advantage of their ongoing deals, which makes feeding a group of friends affordable. The garlic bread is a must-have side, and wrapping up the meal with a warm Choco Lava Cake is a perfect ending.
Things to Keep in Mind:
The atmosphere is definitely ""fast-food busy."" If you go during a peak hour (like a Friday night dinner rush), you might have to wait a little longer, and the dining area can get quite crowded. It's a quick-stop kind of place, not somewhere you linger for a quiet, relaxed dinner.
Overall Verdict:
For a satisfying, tasty pizza experience that delivers exactly what the international chain promises, the Union Place location is a solid choice. It's a great spot for a quick, affordable meal when you're in the area and need that reliable Domino's flavor. | Food and service are generally good, though it can get a bit hectic during busy hours and finding a table isn’t always easy. One downside is the lack of parking right in front, which can be inconvenient.

Overall experience has been positive, although on my last visit the volcano pizza arrived late and dried out. Still, apart from that, it’s a decent spot. The space is a bit smaller compared to some other Domino’s branches but manageable.",3.8,2026-05-02T08:06:56.971627+00:00
ChIJ3aqqqhVZ4joRnvOrePUKNlE,Thilhara Colombo,"75 Union Pl, Colombo 00200, Sri Lanka",6.9223855,79.853865,3.7,339.0,,60.1,"establishment, food, lodging, point_of_interest, restaurant",0112 333 880,,False,5,"I had a great one nigth stay at this hotel. The location is really good, very central, 20min by walk to the Galle Face Shopping mall and the coast line. Room was big, with a balcanoy, central hot water, A/C, clean and tidy. Stuff was very friendly and welcoming. Overall a good place to stay if you are looking for something with good price and location. | The hotel provided a pleasant experience overall during my visit. The accommodations were clean and well-maintained, creating a comfortable atmosphere. I especially appreciated the service from the staff, who were always attentive and responsive. The reception boy was particularly sweet and incredibly helpful throughout my stay. Therefore, I would recommend this hotel to anyone traveling to the city. | Hamdha service was great. He arranged our taxi to the airport in short notice.
Rooms were nice and very comfortable.
Linda weird for the bathrooms to have a semi transparent door, but ok | Good experience, the staff is kind and professional, the rooms are clean and comfortable. Strongly recommended it | I would not recommend the hotel. Yes, staff are friendly and helpful but that's were it stops.

After driving many hours we were looking to having a warm shower. Standing under the shower waiting for the water to warm up, came to the realization it's not going to happen. Inquired at the desk a was told it was broken. My thinking was this should be a priority for the comfort of you guests, not here. No hot water for 3 days we stay.

The rooms are not clean, mold in the bathroom. Friday night no lighting in the hallways. This place could use a good cleaning and some fresh paint.",4.0,2026-05-02T08:06:56.971627+00:00
ChIJ5UWRwRRZ4joRmm2f_-Y6pdo,FLOW,"200 Union Pl, Colombo 00200, Sri Lanka",6.9207704,79.8561068,4.4,1235.0,3.0,60.2,"establishment, food, point_of_interest, restaurant",0115 344 644,https://sites.google.com/view/hiltoncolomboresidences/dining/flow,True,5,"Fantastic selection for the price (I don't remember the exact price but there was a 25% off HSBC Card offer that made the price person about LKR5500!).

All the meats (especially the pork and lamb) were well seasoned and done to perfection. I've had so many styles of pork ribs (i lived in Texas for 4 years so I know good ribs) I can say by far, yesterday's was the best I have ever had (I ate 7 🤣). It was spicy and so well marinated - catered to our palette. The chicken Tikka masala curry was so yummy, my parents were discussing how it tastes like the ones we had in India itself! I loved the cheese selection as well. The mushroom soup was to die for - the strong mushroom taste was right up my alley. Even the action stations did a good job. I loved the selection of pickles and the tasty salad dressings as well. Oh and the desserts! I came in November last year and the 1 complaint we had was that the deserts were not great at the time. But now? It was phenomenal. Cheesecake was light and airy, the Lime mousse was great, the chocolate mousse was good as well.

Yesterday was my parents anniversary so I am so glad the food was delicious. I forget the name of the girl who was our waiter but she was very attentive and helpful. | I recently visited Flow at Hilton Colombo Residences for an official lunch with business partners, and it was the perfect choice for a corporate gathering.
​One of the biggest challenges with business groups is catering to different dietary needs, but Flow handled it effortlessly. The buffet was able to cater to both the vegetarian and halal members of our group with plenty of variety for everyone.
​The Sri Lankan section was a standout—the flavors were authentic and truly well-executed. Beyond the mains, the dessert spread was impressive with a great range of choices. To top it all off, the coffee latte was excellent and served as a perfect finish to the meal.
​The atmosphere is professional yet relaxed, making it easy to hold a conversation. Highly recommended for anyone looking for a high-quality, inclusive dining experience in Colombo. | Some staff members are good🥰 Some are okay. Calm environment. Nice looking. Food aren't tasty. I went there on a friday for weekday lunch buffet. Buffet spread is low🥲 Not worth for money. Washroom is beautiful but bad smells are there🥹I didn't expect it from HILTON. They have to improve their quality✨ | We had a truly delightful experience at Flow.The atmosphere was calm and not overly crowded which helped us to enjoy our time comfortably. The buffet offered variety of dishes with the Indian corner, sushi selection, and desserts standing out as more flavorful.

The dumplings and steamed seafood were a bit mild for my personal taste. the overall quality and presentation of the food were great. A special mention goes to the team for arranging a birthday cake upon our request which added a thoughtful touch to our celebration. We are grateful for the warm service and would certainly recommend Flow for a pleasant and enjoyable dining experience. | Had lunch at this buffet, and they offer a wide international selection, including Asian cuisine, a sushi bar, and a good range of desserts. The variety was great, but the taste was just average —not bad, but nothing outstanding either except their baked fish and the mongolian rice which was really good.

The sushi bar was a nice touch, and the dessert selection had plenty of options to try. Overall, it's decent if you're looking for variety, but if you're after exceptional flavors, it might not fully deliver.
Friendly staff too.",4.0,2026-05-02T08:06:56.971627+00:00
ChIJU1VVFUJZ4joRyqBl_9RLntY,The Mango Tree,"10 Deal Pl - A, Colombo 00300, Sri Lanka",6.9067846,79.8538978,4.1,2595.0,3.0,71.4,"establishment, food, point_of_interest, restaurant",0117 620 620,http://www.themangotreesl.com/,True,5,"So i get chance to visit The mango tree "" authentic indian restaurant "" in colombo... i ordered salted lassi , chicken tikka masala and tandoori roti. Food came after around 25 mins of wait.... even though restaurant was empty..... Tandoori roti was perfectly cooked..but the chicken was dry and hard...gravy was average...bill was 5600 Lkr... price is justified if they serve fresh food. | We were looking for a North Indian restaurant to have dinner and selected this place. When we arrived, we were the only customers there and the place was nicely arranged. After giving the order, the food came out so quickly. I guess they were pre-made?
The naan was tasty but a bit dry, they weren't fresh. Other than that, the food was great. | Had a great experience at The Mango Tree. The food was really good, and the butter chicken was great ,rich and full of flavor. The prices were very reasonable for the quality and quantity of food served. The staff was super friendly, attentive, and made us feel very welcome. If I could suggest one small improvement, I’d love to see the spice level slightly increased to give it an extra kick. Overall, a fantastic dining experience. | This place serves authentic Indian food and a must try restaurant for Indian food lovers! The menu is diverse with veg and non-veg options. The service is super fast even during busy hours. The interior is aesthetically pleasing. However the place can be crowded during weekends and holidays. | Definitely would go again.  Highly recommend.

Food and drink was fresh, warm,  tasty and authentic.

Friendly and helpful staff.

Very nice ambience  !",4.2,2026-05-02T08:06:56.971627+00:00
ChIJPWoxsBFZ4joRpXf8uhRX1jo,"Panaash - Indian Sweets, Groceries & Faluda's","No: 245 Havelock Rd, Colombo 00600, Sri Lanka",6.8832035,79.8689328,3.9,204.0,2.0,54.5,"establishment, food, point_of_interest, restaurant",0112 504 490,,True,5,"ordered a rasmalai through uber but they sent a frozen one. How are we supposed to eat it? If you’re selling an item like this, it should be clearly mentioned. It’s not nice to sell it this way. Even when I called they spoke very rudely. Really disappointed with the place. | This is a little shop that serves mouthwatering little sweet treats down Havelock Road. Panaash specialises in sweetmeats, faludas, samosas ,Punjabi samosas,a variety of crisps and munchies.
Panaash also sells three kinds of Samosas, the Punjabi Samosa, the Chicken Samosa and the Beef Samosa each at Rs.50. The Punjabi Samosa was a favourite, stuffed with squishy potatoes and peas with a hint of fenugreek which I tried since Chicken Samosa wasn’t available.
For drinks I tried their Rose Faluda. Indian sweets are incomplete without a glass of Faluda. If you want to try the best Faluda in town, you need to drop by at Panaash! Faluda is made with Sherbet syrup, semolina and Ice Cream. The presentation was normal and it looked eyeful. It was delicious, decadently presented in a large glass.
For take away I got a Pistachio Kulfi and 2 Barfis and unfortunately I cannot remember the name of the other sweet I got. The Kulfi was well presented in a small pot. They’ve got different other flavors such as Mango, Almond, Faluda and Chocolate. The Kulfi was more denser and creamier than the regular ice cream and was consisted with lots of pistachios which was actually my favorite.
The Barfi was made with condensed milk and sugar with a hint of rose essence. They’ve also used cardamoms to spice up the flavor and included a generous amount of pistachios in it and the flavors were well balanced.
Staff was very friendly and welcoming. Panaash had a lot of free space when I dropped by. All the sides were decked with imported sweets and many more. Unlike many other Bombay sweet sellers. They undertake pre orders on Chicken Biriyani which Rs.390 per 250g and also sells Chaat on every Sunday.
Panaash does offer authentic sweets that are made right at the little shop. If you ever crave for some Bombay Sweets and Chaat, do drop by at Panaash! | I was expecting pani puri to be great but it was okay. Their biriyani was great. Also I liked the samosa. My expectations for pani puri and dahi aloo puri was high but this place couldn't satisfy my tastebuds | Very expensive. The quality is not bad and also not so good when compared to other chaat shops. The faluda is so good but the sugar level is high | Poor quality products. Not worth the money. Using commercial ghee, so no ghee flavor is authentic and  unable to eat the sweets.",2.4,2026-05-02T08:06:56.971627+00:00
ChIJNQpoJj1Z4joRgoxhgFBd5Ns,Royal Thai - Cinnamon Lakeside,"117 Colombo - Batticaloa Hwy, Colombo, Sri Lanka",6.929264099999999,79.8493666,4.4,708.0,,59.2,"establishment, food, point_of_interest, restaurant",0112 491 945,http://www.cinnamonhotels.com/cinnamonlakesidecolombo/dining/royal-thai.html,True,5,"We stopped here for a lunch break at the Thai restaurant inside Cinnamon Lakeside Hotel. When we first asked the hotel reception where the Thai restaurant was located, the staff told us that there was no Thai restaurant in the hotel, which was confusing since Google Maps clearly showed one. At first, we wondered if there was a language misunderstanding, but in the end, we decided to walk around and look for it ourselves — and we did find the Thai restaurant.

Once inside, the restaurant staff were friendly and attentive, which was a positive experience. The food quality was okay. We ordered fried rice per person, thinking the portion would be individual-sized. However, when the food arrived, the portion was very large, easily enough for about three people to share. Unfortunately, this was not explained to us in advance, so we couldn’t finish it and it resulted in food waste, which was disappointing.

The fried rice was decent, though using jasmine rice would make it feel more authentic for a Thai restaurant.

Overall, the service at the restaurant was good and the food was acceptable, but clearer communication and more attention to authenticity would improve the experience. | We went for lunch during the LKR 3500 promotion. It was a three course meal. Every course was delicious and it was absolutely worth the price. The desert was my personal favorite, a mango sticky rice with peanut chocolate.
The interior was beautiful with a cultural touch and a promising view of the city.
The staff were very well managed, friendly and gave us a good description of food.
What I did not enjoy was the loud chatter of the neighboring tables. It was a point which kept us from having a great experience. However I do not see that as an issue of the hotel.
Overall a very good experience.
Highly recommend. | Went there to have dinner with my wife. They haven’t marked my reservation. They gave us a regular table without mentioning anything . But we noticed that we were not given a reserved table (reserved table had a better setting). We mentioned again that we did a reservation, and only then they offered a reserved table. They cross checked my phone number and I overheard that the person answered my call might have forgotten to note down the reservation. They didn’t mention anything to us or apologized for the inconvenience from their side.

The food was good, but not exceptional specially for the price.

The service was by the book bare minimum I would say, and it was not friendly, no smiles. Expected better friendly and helpful service from a high end restaurant like this. | Royal Thai has always been one of my favorite places for Thai cuisine, and once again, it didn’t disappoint. The service was great—attentive and professional.
We had the chicken fried rice, veg pad Thai, stir-fried snapper in red pepper sauce, and garlic & pepper prawns. Every dish was packed with flavor and cooked to perfection. Definitely worth the price.
The cocktails were just okay, but the milkshakes were surprisingly good. Overall, it was a delicious and satisfying meal. Highly recommend if you’re craving authentic Thai food in a classy setting! | The price is not included in the menu because you are charged an additional 25 percent, which is revealed in the payment, for taxes, in
addition to 10 percent for service.
Also very spicy dishes. The pad Thai was good",3.8,2026-05-02T08:06:56.971627+00:00
ChIJnUlfY4pZ4joRgJNzMq8j2So,Randeni Hotel,"527/C Nawala Rd, Colombo 10107, Sri Lanka",6.899913,79.8937625,3.4,15.0,,38.5,"establishment, food, point_of_interest, restaurant",077 910 2374,,True,5,Good  place have your take a way food. Their curries are good and have flavour to perfection. Milk rice is one of the best. Owner is also serving food and very nice person. He maintained a little hardware shop in the same place hence the appearance of the hotel is not that Greate | Good food for a reasonable price. The owner is a friendly nice person. He knows everything. Love this place | I have being eating from this place with some of my friends for the past  8 or more years... food is good Vasantha is a very sweet helper... he serves us top class everytime we go... | Be careful about your health when you eat something from here | Nice place to eat..,3.8,2026-05-02T08:06:56.971627+00:00
ChIJTX4osRtb4joRZEUZmTz6JrQ,Burger King - Mount Lavinia,"Dehiwala-Mount Lavinia, Sri Lanka",6.8421372,79.8665625,4.2,2374.0,2.0,71.8,"establishment, food, point_of_interest, restaurant",0115 123 123,https://burgerking.lk/,True,5,"Excellent Service. I visited around 5pm and ordered a takeaway, my order was ready within 10 mins and the staff was courteous enough to come the table I was seated and handed over my order. Really pleasant and family friendly environment, I had enough space park my car, and The food is good, typical Burger King but yes Good food and good vibes. | I ordered a spicy chicken burger , casier said it gonna take 5 minutes but after 10 minutes i went to see my order , it didnt even ready , i asked for dine in they gave me takeaway bag , after 15 minutes ago finally got my order food is good but service is not better. | This outlet is very spacious and well maintained. Clean and tidy. Can have a function or gathering for about 50 people.
Kids friendly, as there is a separate play area for kids.
Friendly staff and good service overall. | The food is good but the service is not good ,  i waited for my food for 15 minutes till i get em | 🍔speed and the arrangement along with the seating gives the no nonsense quickness to a bite and run chance. Pretty good food for choosing with the liquids too served fast .In and out with a feel of satisfaction,paly area also good clean & Clam keep it up 👑🍔",4.2,2026-05-02T08:06:56.971627+00:00
ChIJ04s7Xt9b4joRgQ3bidOqtmA,Cloud Cafe & Bar,"Colombo Court, Hotel & Spa, 32 Alfred House Ave, Colombo 00300, Sri Lanka",6.897765000000001,79.856454,4.1,130.0,,49.3,"bar, cafe, establishment, food, point_of_interest, restaurant",0114 645 333,https://www.colombocourthotel.com/cloudcafe,False,5,"I went to Cloud Café to celebrate my friend’s birthday, and it was a wonderful experience. A special thank you to Manula Shanika and Gehan for their excellent service and kind support.
They helped us a lot to organize and successfully surprise my friend. They were very friendly, patient, and cooperative throughout the celebration. Because of their help, the birthday celebration became more special and memorable.
I truly appreciate their effort and dedication. Highly recommended Cloud Café for celebrations and special occasions | Visited here with my office friends to celebrate a birthday in the evening. The food, service, and location are superb. Highly recommended for gatherings and celebrations | Ok i dont know how to start. 1st the waiter was so bad and SLOW. It took him ages to figure out whats going on. We went in during the happy hour where you get 25% off on cocktails and mocktails.(i have a picture attached below) and the had some error in their Facebook page post and they admitted their mistake. So then we ordered mocktails we toasted more like water mixed with some cordial. It was soo bad. The food was no exception. And they had a card offer and took the card away and came back saying its not working. It looked like that they were faking to charge the full amount. So if i could rate them negative 5 stars, i would. Highly disappointed. | One of the few places in colombo to spend a peaceful Friday night. Rooftop has a nice view in the evening. Place is really calm with live music. Staff is very friendly. Unless you are sitting near the bar, service may take time. The food is good but the portions are relatively small. Vast variety of drinks available on the menu. Cocktails are good, while the spirits are relatively costly. Happy hours(25% off) from 5.30 pm to 7.30 pm. It costs LKR2000-2500 per head. | Nice place.  Food is not that great. Calamari had very thick coating of flur and taste is not that good. Beef nachos comes with guacamole and it was too tangy. They gave us a small review questionnaire with the bill. But no pen 😬
Service is really great. Waiters are really helpful and always try to give you an exceptional service. People smoke there. But you won't feel it due to the breeze. There are small ants on the floor and my wife got bitten by few. Menu has very good spread with many vegetarian options. I think owner will correct these once he saw the review.

Make sure to give it a try. Will go again when I get a chance.",3.8,2026-05-02T08:06:56.971627+00:00
ChIJxRHrXwBZ4joRB4sx9EIV3dU,Marhaba Biriyani,"303 Main St, Colombo 01100, Sri Lanka",6.938745099999999,79.85318,3.9,20.0,,29.4,"establishment, food, point_of_interest, restaurant",076 110 0631,,,5,"One of Lower Price briyani in the area
I this it may worth of price it served with chicken and gravey
Ther is some options
Extra rice
Extra meat
Extra meal option are available
No parking or dining facilities | Great place to have a cheap biryani... no dine  in option available .... breakfast also available here... | Quantity seems to go low day by day ..felt very disappointed . They literally weighed the rice parcel to 250gl. Which is not really worth the price. Previously they served a decent quantity for 300rs but not anymore. An average person needs at least 2 parcels to have a tummy full meal.
Don't recommend this place anymore. | Not worth to the price. No taste in rice. Chicken tastes bitter. Tried because of a tiktok video. Never again. Also the portion is too small. | Don't expect best quality from Rs. 300 biriyani.",2.8,2026-05-02T08:06:56.971627+00:00
